Année, Population, Aieux, Aieules
0.0000,6000,,
100.0000,8950,,
200.0000,9121,,
300.0000,8972,,
400.0000,8722,,
500.0000,9027,,
600.0000,9108,,
700.0000,9409,,
800.0000,9170,,
900.0000,9343,,
1000.0000,9315,,
1100.0000,9028,,
1200.0000,8888,,
1300.0000,8733,,
1400.0000,9214,,
1500.0000,9262,,
1600.0000,9343,,
1700.0000,9266,,
1800.0000,9504,,
1900.0000,9526,,
2000.0000,9836,,
2100.0000,9510,,
2200.0000,9354,,
2300.0000,9574,,
2400.0000,9501,,
2500.0000,9275,,
2600.0000,9071,,
2700.0000,9427,,
2800.0000,9345,,
2900.0000,9524,,
3000.0000,9110,,
3100.0000,9216,,
3200.0000,9607,,
3300.0000,9089,,
3400.0000,9588,,
3500.0000,9724,,
3600.0000,9384,,
3700.0000,9786,,
3800.0000,9818,,
3900.0000,9762,,
4000.0000,10114,,
4100.0000,10298,,
4200.0000,9976,,
4300.0000,10211,,
4400.0000,9773,,
4500.0000,9762,,
4600.0000,9918,,
4700.0000,10154,,
4800.0000,10960,,
4900.0000,10801,,
5000.0000,11208,,
5100.0000,11218,,
5200.0000,11570,,
5300.0000,12050,,
5400.0000,11814,,
5500.0000,11835,,
5600.0000,11630,,
5700.0000,11743,,
5800.0000,11746,,
5900.0000,12178,,
6000.0000,12324,,
6100.0000,12517,,
6200.0000,12562,,
6300.0000,12184,,
6400.0000,13181,,
6500.0000,13545,,
6600.0000,13682,,
6700.0000,13972,,
6800.0000,14137,,
6900.0000,14486,,
7000.0000,14562,,
7100.0000,14782,,
7200.0000,14446,,
7300.0000,14094,,
7400.0000,13934,,
7500.0000,14137,,
7600.0000,13578,,
7700.0000,12776,,
7800.0000,12655,,
7900.0000,12662,,
8000.0000,12257,,
8100.0000,11988,,
8200.0000,12021,,
8300.0000,11655,,
8400.0000,11649,,
8500.0000,11571,,
8600.0000,12137,,
8700.0000,12044,,
8800.0000,11815,,
8900.0000,11774,,
9000.0000,11687,,
9100.0000,11714,,
9200.0000,11785,,
9300.0000,11886,,
9400.0000,12260,,
9500.0000,12070,,
9600.0000,12076,,
9700.0000,12146,,
9800.0000,11723,,
9900.0000,12001,,
10000.0000,12329,,
10100.0000,12096,,
10200.0000,12049,,
10300.0000,11787,,
10400.0000,11664,,
10500.0000,12026,,
10600.0000,12517,,
10700.0000,12325,,
10800.0000,12338,,
10900.0000,12627,,
11000.0000,12455,,
11100.0000,12403,,
11200.0000,12541,,
11300.0000,13004,,
11400.0000,13527,,
11500.0000,13105,,
11600.0000,13256,,
11700.0000,12866,,
11800.0000,13051,,
11900.0000,12788,,
12000.0000,12243,,
12100.0000,11827,,
12200.0000,11924,,
12300.0000,12758,,
12400.0000,12144,,
12500.0000,11956,,
12600.0000,11591,,
12700.0000,11547,,
12800.0000,11734,,
12900.0000,11981,,
13000.0000,11524,,
13100.0000,11617,,
13200.0000,11734,,
13300.0000,11867,,
13400.0000,11920,,
13500.0000,11750,,
13600.0000,11783,,
13700.0000,12143,,
13800.0000,11868,,
13900.0000,11269,,
14000.0000,11200,,
14100.0000,10835,,
14200.0000,10314,,
14300.0000,10012,,
14400.0000,9878,,
14500.0000,9815,,
14600.0000,9782,,
14700.0000,10089,,
14800.0000,9812,,
14900.0000,9945,,
15000.0000,10005,,
15100.0000,10362,,
15200.0000,10487,,
15300.0000,9868,,
15400.0000,9764,,
15500.0000,9567,,
15600.0000,9823,,
15700.0000,10214,,
15800.0000,10266,,
15900.0000,10620,,
16000.0000,10760,,
16100.0000,10454,,
16200.0000,10184,,
16300.0000,10694,,
16400.0000,11070,,
16500.0000,11732,,
16600.0000,11897,,
16700.0000,10915,,
16800.0000,11158,,
16900.0000,11185,,
17000.0000,11066,,
17100.0000,11380,,
17200.0000,11015,,
17300.0000,11009,,
17400.0000,11625,,
17500.0000,11246,,
17600.0000,11124,,
17700.0000,10621,,
17800.0000,10539,,
17900.0000,9729,,
18000.0000,9492,,
18100.0000,9219,,
18200.0000,9430,,
18300.0000,9486,,
18400.0000,9558,,
18500.0000,9514,,
18600.0000,9508,,
18700.0000,9252,,
18800.0000,9645,,
18900.0000,9536,,
19000.0000,9813,,
19100.0000,9902,,
19200.0000,10056,,
19300.0000,10222,,
19400.0000,10075,,
19500.0000,9347,,
19600.0000,9384,,
19700.0000,9352,,
19800.0000,9635,,
19900.0000,9858,,
20000.0000,9831,,
0.0000,,16,
715.4094,,17,
1133.6179,,18,
5706.9357,,19,
6645.7693,,20,
6747.0396,,21,
9570.1898,,22,
9623.0056,,23,
9632.7064,,24,
9854.4439,,25,
9925.5215,,26,
10144.5525,,27,
10184.9256,,28,
10648.2118,,29,
10653.7218,,30,
10658.9062,,31,
11359.0351,,32,
12119.9918,,33,
12150.5311,,34,
12377.8716,,35,
12507.5929,,36,
12589.5548,,37,
12810.6203,,38,
12844.9490,,39,
13207.7726,,40,
13311.7019,,41,
13406.3898,,42,
13409.3847,,43,
13524.8631,,44,
13820.3511,,45,
14013.8294,,46,
14176.0429,,47,
14236.0930,,48,
14351.2653,,49,
14380.3173,,50,
14413.9226,,51,
14463.1682,,52,
14604.9379,,53,
14667.6741,,54,
14706.1768,,55,
14709.2443,,56,
14901.4374,,57,
15080.0128,,58,
15186.5707,,59,
15277.6373,,60,
15319.1123,,61,
15380.4908,,62,
15476.1671,,63,
15512.1554,,64,
15719.0955,,65,
15725.0898,,66,
15748.5177,,67,
15774.4385,,68,
15816.7217,,69,
15831.1515,,70,
15881.7900,,71,
16004.9797,,72,
16070.6246,,73,
16079.5316,,74,
16155.4613,,75,
16312.8705,,76,
16353.0385,,77,
16371.5877,,78,
16376.5136,,79,
16378.3482,,80,
16436.6403,,81,
16441.4166,,82,
16546.0825,,83,
16625.7365,,84,
16626.8803,,85,
16668.1375,,86,
16672.3878,,87,
16740.3052,,88,
16787.5472,,89,
16788.7109,,90,
16827.0916,,91,
16846.9908,,92,
16852.6032,,93,
16870.4383,,94,
17024.6956,,95,
17049.3133,,96,
17060.3948,,97,
17107.4885,,98,
17121.1191,,99,
17126.8363,,100,
17169.3213,,101,
17184.8470,,102,
17187.9280,,103,
17198.5804,,104,
17231.6347,,105,
17250.0682,,106,
17257.8202,,107,
17259.6815,,108,
17277.0928,,109,
17301.8557,,110,
17311.7259,,111,
17343.0958,,112,
17352.6490,,113,
17357.8649,,114,
17392.3428,,115,
17412.2776,,116,
17420.3270,,117,
17449.9132,,118,
17582.2881,,119,
17601.0235,,120,
17624.0562,,121,
17705.9089,,122,
17715.0321,,123,
17754.1917,,124,
17769.7149,,125,
17857.4939,,126,
17932.3071,,127,
17979.0532,,128,
17981.7401,,129,
17994.8158,,130,
18000.6250,,131,
18012.3426,,132,
18035.3017,,133,
18067.1655,,134,
18096.2376,,135,
18105.2190,,136,
18131.0315,,137,
18153.2120,,138,
18166.2219,,139,
18176.6158,,140,
18176.8281,,141,
18229.0122,,142,
18245.8668,,143,
18253.7607,,144,
18256.0626,,145,
18269.3054,,146,
18278.1372,,147,
18279.1678,,148,
18292.8548,,149,
18293.2031,,150,
18316.8698,,151,
18359.9646,,152,
18365.6311,,153,
18379.6718,,154,
18398.8419,,155,
18406.4651,,156,
18421.5879,,157,
18430.1931,,158,
18433.6679,,159,
18434.8978,,160,
18452.1131,,161,
18459.0304,,162,
18469.1528,,163,
18469.3437,,164,
18477.3840,,165,
18505.1632,,166,
18507.2218,,167,
18519.7336,,168,
18521.4932,,169,
18523.1158,,170,
18523.5450,,171,
18536.3313,,172,
18540.4716,,173,
18541.6128,,174,
18555.3386,,175,
18556.5023,,176,
18561.5977,,177,
18565.6554,,178,
18575.6058,,179,
18596.0335,,180,
18596.4510,,181,
18601.1156,,182,
18601.2541,,183,
18608.7806,,184,
18614.2008,,185,
18615.5412,,186,
18618.3989,,187,
18619.4808,,188,
18624.9769,,189,
18625.0819,,190,
18635.1647,,191,
18650.1692,,192,
18654.5118,,193,
18673.0196,,194,
18678.7466,,195,
18689.8236,,196,
18691.2532,,197,
18701.2927,,198,
18704.8565,,199,
18705.3545,,200,
18707.5670,,201,
18712.5346,,202,
18724.4445,,203,
18724.6111,,204,
18727.0169,,205,
18727.5587,,206,
18729.2874,,207,
18731.1670,,208,
18738.8576,,209,
18738.9973,,210,
18742.8527,,211,
18743.6053,,212,
18753.6271,,213,
18762.4317,,214,
18767.0657,,215,
18803.1833,,216,
18804.5211,,217,
18805.2386,,218,
18809.6157,,219,
18810.8727,,220,
18814.9005,,221,
18844.6957,,222,
18845.1160,,223,
18845.2861,,224,
18845.2952,,225,
18850.5227,,226,
18879.1101,,227,
18880.6661,,228,
18887.6558,,229,
18888.0095,,230,
18888.5131,,231,
18899.9182,,232,
18902.6174,,233,
18903.1552,,234,
18906.3317,,235,
18909.2122,,236,
18913.4478,,237,
18935.0658,,238,
18935.8912,,239,
18941.2758,,240,
18944.4124,,241,
18948.9054,,242,
18952.6373,,243,
18954.2472,,244,
18958.6587,,245,
18959.8232,,246,
18959.9692,,247,
18962.0170,,248,
18965.4789,,249,
18973.4507,,250,
18978.5528,,251,
18979.5973,,252,
18980.2888,,253,
18982.9043,,254,
18984.7027,,255,
18984.9183,,256,
18987.4160,,257,
18992.4935,,258,
18993.1286,,259,
18993.4696,,260,
19003.1521,,261,
19007.3300,,262,
19011.8245,,263,
19014.3507,,264,
19016.0109,,265,
19016.8135,,266,
19022.7307,,267,
19024.0254,,268,
19027.1746,,269,
19031.0985,,270,
19049.0208,,271,
19049.1429,,272,
19050.5841,,273,
19050.8604,,274,
19052.5511,,275,
19058.4034,,276,
19060.0290,,277,
19073.7600,,278,
19077.7922,,279,
19081.1850,,280,
19081.6174,,281,
19083.3398,,282,
19087.0397,,283,
19088.9059,,284,
19094.7358,,285,
19097.3622,,286,
19099.5320,,287,
19099.9882,,288,
19102.7440,,289,
19113.3546,,290,
19113.4981,,291,
19115.3935,,292,
19122.0236,,293,
19130.7519,,294,
19134.2141,,295,
19136.9170,,296,
19138.4316,,297,
19141.4171,,298,
19143.7589,,299,
19145.9311,,300,
19146.6888,,301,
19147.2834,,302,
19150.8743,,303,
19151.5572,,304,
19152.8555,,305,
19153.7597,,306,
19154.8613,,307,
19156.1686,,308,
19161.2286,,309,
19164.0005,,310,
19164.9589,,311,
19171.3384,,312,
19174.1129,,313,
19177.1920,,314,
19180.1775,,315,
19186.0994,,316,
19193.6170,,317,
19194.9712,,318,
19199.2988,,319,
19200.2298,,320,
19202.4814,,321,
19203.5638,,322,
19204.9731,,323,
19205.0789,,324,
19206.6545,,325,
19210.7804,,326,
19211.2108,,327,
19222.6388,,328,
19224.5021,,329,
19225.6937,,330,
19226.2402,,331,
19229.7963,,332,
19233.2617,,333,
19237.2988,,334,
19243.8757,,335,
19244.9970,,336,
19247.4113,,337,
19248.6024,,338,
19252.0178,,339,
19257.8840,,340,
19260.1684,,341,
19260.5057,,342,
19261.0825,,343,
19264.8611,,344,
19266.7133,,345,
19269.1806,,346,
19271.1181,,347,
19274.0857,,348,
19274.1622,,349,
19276.1132,,350,
19277.3944,,351,
19281.0797,,352,
19281.7421,,353,
19283.1517,,354,
19288.0202,,355,
19289.7929,,356,
19290.4958,,357,
19293.2595,,358,
19294.1560,,359,
19301.4257,,360,
19302.9062,,361,
19303.0504,,362,
19304.5555,,363,
19306.4312,,364,
19309.9554,,365,
19310.9230,,366,
19311.4085,,367,
19312.2413,,368,
19315.1419,,369,
19315.9546,,370,
19317.8220,,371,
19320.0433,,372,
19320.5885,,373,
19320.9958,,374,
19321.9651,,375,
19327.3731,,376,
19327.5836,,377,
19329.8108,,378,
19329.8791,,379,
19332.5623,,380,
19334.0309,,381,
19334.8675,,382,
19334.8919,,383,
19335.3180,,384,
19336.7706,,385,
19337.9757,,386,
19340.1940,,387,
19341.1626,,388,
19344.8839,,389,
19346.9571,,390,
19348.8649,,391,
19349.2033,,392,
19351.4156,,393,
19351.5819,,394,
19352.4362,,395,
19354.5291,,396,
19359.8894,,397,
19364.2199,,398,
19370.1487,,399,
19371.5008,,400,
19373.2289,,401,
19373.3159,,402,
19374.2864,,403,
19374.3001,,404,
19376.8348,,405,
19380.0667,,406,
19380.8875,,407,
19382.9359,,408,
19389.5720,,409,
19390.9849,,410,
19392.1615,,411,
19392.4272,,412,
19393.0690,,413,
19394.6699,,414,
19396.4083,,415,
19396.5679,,416,
19397.0506,,417,
19397.1277,,418,
19397.3256,,419,
19398.2951,,420,
19402.3324,,421,
19403.5588,,422,
19406.0644,,423,
19406.3572,,424,
19407.8290,,425,
19408.5459,,426,
19410.4239,,427,
19410.7071,,428,
19410.9517,,429,
19413.0015,,430,
19413.6086,,431,
19419.4121,,432,
19422.8507,,433,
19425.7931,,434,
19425.9499,,435,
19426.0816,,436,
19426.6247,,437,
19427.8768,,438,
19427.9294,,439,
19432.6657,,440,
19433.3290,,441,
19434.3589,,442,
19434.8362,,443,
19434.9905,,444,
19436.0896,,445,
19436.3200,,446,
19436.3252,,447,
19437.6276,,448,
19439.1791,,449,
19445.9110,,450,
19449.0814,,451,
19449.6906,,452,
19451.7371,,453,
19452.3778,,454,
19457.7565,,455,
19458.0199,,456,
19458.2786,,457,
19462.7612,,458,
19462.8221,,459,
19464.4572,,460,
19467.5913,,461,
19468.1591,,462,
19469.3472,,463,
19470.8912,,464,
19474.2377,,465,
19476.1148,,466,
19476.3187,,467,
19479.2558,,468,
19480.4705,,469,
19481.4985,,470,
19481.8596,,471,
19482.7953,,472,
19484.3933,,473,
19484.3999,,474,
19484.4169,,475,
19484.9006,,476,
19485.9916,,477,
19487.2274,,478,
19487.3049,,479,
19487.9018,,480,
19488.0842,,481,
19488.6425,,482,
19489.9423,,483,
19490.5386,,484,
19491.6285,,485,
19492.6115,,486,
19493.7018,,487,
19494.0435,,488,
19496.0341,,489,
19497.6945,,490,
19503.5426,,491,
19503.7148,,492,
19504.3189,,493,
19506.4929,,494,
19506.9684,,495,
19507.0406,,496,
19507.8640,,497,
19513.0794,,498,
19513.3678,,499,
19514.2871,,500,
19514.3992,,501,
19515.1548,,502,
19515.1755,,503,
19515.3175,,504,
19516.1824,,505,
19516.5479,,506,
19516.7875,,507,
19517.7419,,508,
19519.2256,,509,
19519.3141,,510,
19520.8059,,511,
19521.4406,,512,
19522.3265,,513,
19523.0686,,514,
19524.6528,,515,
19525.0264,,516,
19525.1297,,517,
19528.9030,,518,
19530.2972,,519,
19530.2999,,520,
19530.4239,,521,
19530.5905,,522,
19530.5927,,523,
19530.8676,,524,
19531.0404,,525,
19531.8477,,526,
19534.2753,,527,
19534.7523,,528,
19534.8003,,529,
19535.5486,,530,
19535.6622,,531,
19537.3480,,532,
19543.1917,,533,
19543.3009,,534,
19544.1407,,535,
19545.1729,,536,
19545.2642,,537,
19545.7290,,538,
19545.7300,,539,
19546.0032,,540,
19546.2939,,541,
19547.5149,,542,
19547.9148,,543,
19548.2311,,544,
19548.6940,,545,
19549.4922,,546,
19550.2560,,547,
19550.6428,,548,
19556.2061,,549,
19557.4320,,550,
19558.2656,,551,
19559.2246,,552,
19560.1867,,553,
19560.4463,,554,
19561.7676,,555,
19562.4382,,556,
19564.6114,,557,
19565.1408,,558,
19565.3723,,559,
19565.6309,,560,
19566.3621,,561,
19566.4398,,562,
19568.3911,,563,
19569.7537,,564,
19571.0256,,565,
19571.4586,,566,
19571.8933,,567,
19572.8390,,568,
19572.8764,,569,
19573.9562,,570,
19575.1282,,571,
19576.5227,,572,
19576.6085,,573,
19577.8920,,574,
19578.2572,,575,
19578.3254,,576,
19578.5101,,577,
19578.6586,,578,
19579.0357,,579,
19579.3760,,580,
19580.7609,,581,
19581.0516,,582,
19581.6867,,583,
19582.2346,,584,
19582.2913,,585,
19582.9375,,586,
19583.3462,,587,
19584.0561,,588,
19584.1793,,589,
19584.4756,,590,
19585.0073,,591,
19585.0418,,592,
19585.3935,,593,
19585.6169,,594,
19587.1393,,595,
19587.8625,,596,
19587.9101,,597,
19588.1726,,598,
19588.3229,,599,
19588.5361,,600,
19588.9902,,601,
19589.2556,,602,
19589.2991,,603,
19589.3504,,604,
19590.9550,,605,
19591.9275,,606,
19592.3305,,607,
19592.4998,,608,
19592.6610,,609,
19593.4783,,610,
19593.6622,,611,
19594.9352,,612,
19595.6655,,613,
19595.8028,,614,
19596.2396,,615,
19596.2707,,616,
19597.0171,,617,
19597.7581,,618,
19599.2756,,619,
19599.3051,,620,
19599.5927,,621,
19600.0215,,622,
19600.5556,,623,
19601.7311,,624,
19602.4893,,625,
19604.5923,,626,
19605.5419,,627,
19605.7485,,628,
19606.1722,,629,
19607.0160,,630,
19607.1396,,631,
19608.2607,,632,
19609.5898,,633,
19609.6485,,634,
19611.2205,,635,
19611.9755,,636,
19612.0837,,637,
19612.1194,,638,
19612.2108,,639,
19613.9192,,640,
19614.5497,,641,
19617.3162,,642,
19617.5958,,643,
19617.8201,,644,
19619.6249,,645,
19619.7741,,646,
19619.8810,,647,
19620.2660,,648,
19620.3059,,649,
19621.3760,,650,
19621.7117,,651,
19622.4969,,652,
19622.9937,,653,
19623.0743,,654,
19623.7304,,655,
19623.9272,,656,
19624.2341,,657,
19624.7366,,658,
19625.4367,,659,
19625.7657,,660,
19625.9975,,661,
19626.2549,,662,
19627.3168,,663,
19629.0491,,664,
19629.5592,,665,
19632.2455,,666,
19633.0397,,667,
19633.3963,,668,
19635.4255,,669,
19635.6768,,670,
19636.5978,,671,
19636.7187,,672,
19637.0246,,673,
19639.6243,,674,
19641.1815,,675,
19641.4203,,676,
19641.6965,,677,
19642.4850,,678,
19642.9521,,679,
19643.1256,,680,
19644.7318,,681,
19644.8576,,682,
19645.0855,,683,
19645.1085,,684,
19647.2187,,685,
19648.2218,,686,
19648.5486,,687,
19648.5970,,688,
19648.6499,,689,
19648.7473,,690,
19649.8192,,691,
19650.7157,,692,
19652.4677,,693,
19653.1307,,694,
19653.4431,,695,
19653.9951,,696,
19654.9959,,697,
19656.2885,,698,
19656.6339,,699,
19656.8455,,700,
19657.9721,,701,
19659.6675,,702,
19659.8966,,703,
19660.0796,,704,
19660.4999,,705,
19661.3865,,706,
19661.5034,,707,
19661.9315,,708,
19662.0552,,709,
19662.7256,,710,
19663.0028,,711,
19663.2722,,712,
19663.3187,,713,
19664.0669,,714,
19664.3721,,715,
19664.5527,,716,
